Longitude;Latitude;timeStamp ;Main (cl/min);Débit GE (ml/min);Débit GI (ml/min);Débit DI (ml/min);Débit DE (ml/min);ref_d1;ref_d2;ref_d3;ref_d4;Speed_brut;Speed_kmh;Speed_moymobile;Pressure_brut;Pressure_bars;Debit_ref_GE;Debit_ref_GI;Debit_ref_DI;Debit_ref_DE;volrate_d1;volrate_d2;volrate_d3;volrate_d4
3.8289765;43.6586951;14:39:19:638;0;31;31;144;147;0;0;0;0;40;4;4.114285714;427;4.27;0;0;0;0;1.506944444;1.506944444;7;7.145833333
3.8289786;43.6586943;14:39:19:726;0;31;31;122;125;0;0;0;0;34.8;3.48;4.08952381;427;4.27;0;0;0;0;1.516068933;1.516068933;5.966464835;6.113181183
3.8289786;43.6586943;14:39:19:809;0;31;31;103;106;0;0;0;0;34.8;3.48;4.04;427;4.27;0;0;0;0;1.534653465;1.534653465;5.099009901;5.247524752
3.8289807;43.6586933;14:39:19:939;0;31;31;87;90;0;0;0;0;35.9;3.59;3.995714286;427;4.27;0;0;0;0;1.551662496;1.551662496;4.354665713;4.5048266
3.8289807;43.6586933;14:39:20:024;0;31;31;74;77;0;0;0;0;35.9;3.59;3.956666667;427;4.27;0;0;0;0;1.566975569;1.566975569;3.740522325;3.892165122
3.8289831;43.6586923;14:39:20:114;0;31;31;65;68;0;0;0;0;38.9;3.89;3.912380952;427;4.27;0;0;0;0;1.584712756;1.584712756;3.32278481;3.476144109
3.8289831;43.6586923;14:39:20:235;0;31;31;62;62;0;0;0;0;38.9;3.89;3.882380952;427;4.27;0;0;0;0;1.596958175;1.596958175;3.19391635;3.19391635
3.8289853;43.6586915;14:39:20:323;0;31;31;62;62;0;0;0;0;37.8;3.78;3.868095238;428;4.28;0;0;0;0;1.602856088;1.602856088;3.205712175;3.205712175
3.8289853;43.6586915;14:39:20:455;0;31;31;62;62;0;0;0;0;37.8;3.78;3.848571429;428;4.28;0;0;0;0;1.610987379;1.610987379;3.221974759;3.221974759
3.8289875;43.6586903;14:39:20:542;0;31;31;62;62;0;0;0;0;40;4;3.843333333;427;4.27;0;0;0;0;1.613183001;1.613183001;3.226366002;3.226366002
3.8289875;43.6586903;14:39:20:626;0;31;31;62;62;0;0;0;0;40;4;3.848571429;427;4.27;0;0;0;0;1.610987379;1.610987379;3.221974759;3.221974759
3.8289894;43.6586891;14:39:20:751;0;31;31;62;62;0;0;0;0;37;3.7;3.848571429;427;4.27;0;0;0;0;1.610987379;1.610987379;3.221974759;3.221974759
3.8289894;43.6586891;14:39:20:832;0;31;31;62;62;0;0;0;0;37;3.7;3.834285714;427;4.27;0;0;0;0;1.616989568;1.616989568;3.233979136;3.233979136
3.8289913;43.6586877;14:39:20:954;0;31;31;62;62;0;0;0;0;40;4;3.82;428;4.28;0;0;0;0;1.623036649;1.623036649;3.246073298;3.246073298
3.8289913;43.6586877;14:39:21:032;0;31;31;62;62;0;0;0;0;40;4;3.82;428;4.28;0;0;0;0;1.623036649;1.623036649;3.246073298;3.246073298
3.8289932;43.6586865;14:39:21:121;0;31;31;62;62;0;0;0;0;38.9;3.89;3.825238095;427;4.27;0;0;0;0;1.620814142;1.620814142;3.241628283;3.241628283
3.8289955;43.6586854;14:39:21:255;0;31;31;62;62;0;0;0;0;38.9;3.89;3.825238095;427;4.27;0;0;0;0;1.620814142;1.620814142;3.241628283;3.241628283
3.8289955;43.6586854;14:39:21:336;0;31;31;62;62;0;0;0;0;41.1;4.11;3.825238095;427;4.27;0;0;0;0;1.620814142;1.620814142;3.241628283;3.241628283
3.8289955;43.6586854;14:39:21:464;0;31;31;62;62;0;0;0;0;41.1;4.11;3.835714286;427;4.27;0;0;0;0;1.616387337;1.616387337;3.232774674;3.232774674
3.8289975;43.6586842;14:39:21:553;0;31;31;62;62;0;0;0;0;37.8;3.78;3.846190476;428;4.28;0;0;0;0;1.611984648;1.611984648;3.223969296;3.223969296
3.8289992;43.6586824;14:39:21:634;0;31;31;62;62;0;0;0;0;37.8;3.78;3.840952381;428;4.28;0;0;0;0;1.61418299;1.61418299;3.228365981;3.228365981
3.8289992;43.6586824;14:39:21:759;0;31;31;62;62;0;0;0;0;41.9;4.19;3.83047619;428;4.28;0;0;0;0;1.618597713;1.618597713;3.237195425;3.237195425
3.8290012;43.658681;14:39:21:841;0;31;31;62;62;0;0;0;0;41.9;4.19;3.83952381;428;4.28;0;0;0;0;1.614783579;1.614783579;3.229567159;3.229567159
3.8290012;43.658681;14:39:21:964;0;31;31;62;62;0;0;0;0;43;4.3;3.873333333;428;4.28;0;0;0;0;1.600688468;1.600688468;3.201376936;3.201376936
3.8290039;43.6586801;14:39:22:050;0;31;31;62;62;0;0;0;0;43;4.3;3.912380952;428;4.28;0;0;0;0;1.584712756;1.584712756;3.169425511;3.169425511
3.8290039;43.6586801;14:39:22:132;0;31;31;62;62;0;0;0;0;44.1;4.41;3.946190476;428;4.28;0;0;0;0;1.571135513;1.571135513;3.142271027;3.142271027
3.8290062;43.6586789;14:39:22:259;0;31;31;62;62;0;0;0;0;44.1;4.41;3.985238095;428;4.28;0;0;0;0;1.555741427;1.555741427;3.111482853;3.111482853
3.8290062;43.6586789;14:39:22:348;0;31;31;62;62;0;0;0;0;43;4.3;4.01;427;4.27;0;0;0;0;1.546134663;1.546134663;3.092269327;3.092269327
3.8290081;43.6586774;14:39:22:438;0;31;31;62;62;0;0;0;0;43;4.3;4.02952381;427;4.27;0;0;0;0;1.538643347;1.538643347;3.077286693;3.077286693
3.8290081;43.6586774;14:39:22:567;0;31;31;62;62;0;0;0;0;41.1;4.11;4.054285714;427;4.27;0;0;0;0;1.529245948;1.529245948;3.058491896;3.058491896
3.8290099;43.6586758;14:39:22:652;0;31;31;62;62;0;0;0;0;41.1;4.11;4.07;427;4.27;0;0;0;0;1.523341523;1.523341523;3.046683047;3.046683047
